a,Fit,M&W,Baumann
0.5,0.22376019260225277,0.22753719233625788,0.22769010213668608
0.555,0.23488993127242708,0.25217177871111307,0.2524046306315591
0.61,0.27153171674930476,0.2774219459271804,0.2776375119372274
0.665,0.28389362798865037,0.3012791284087966,0.30163995275738203
0.72,0.32134949950044245,0.3276065635806138,0.3280698342638572
0.775,0.3460560911636481,0.35306927167462115,0.3535764432693799
0.83,0.37092226723463817,0.37785549103044774,0.3784541745208189
0.885,0.396663921907205,0.4029334894254976,9.504122535886665
0.94,0.42041020238989013,0.42818033997729354,0.4289508881205967
0.995,0.44514393887533465,0.4533748329631771,0.45451291608203037
1.05,0.46778540459428264,0.47854474832729565,8.385907989881925
1.105,0.4955710181204367,0.503862558970878,0.5053013443546189
1.16,0.5193629907850958,0.5291026309789545,0.5304568337356452
1.215,0.5440642671687996,0.5545879192287569,0.5561811708637806
1.27,0.563449758832439,0.5789721462328296,0.5809472815687375
1.325,0.593651572872524,0.6050731991687386,0.6071089374152604
1.38,0.6184399159815932,0.6304567851163255,0.633023721534666
1.435,0.6463637019529962,0.6559392231661019,0.6587885677380504
1.49,0.6688014152264117,0.681367489003218,0.6844746726851254
1.545,0.692890612380431,0.7068058155063931,0.710814250195749
1.6,0.7159884741282507,0.7324913430060719,0.7359740423737702
1.655,0.7426052714879869,0.7578827549480776,0.7619498992052796
1.71,0.7674893027317555,0.7834785114651143,0.788105185413819
1.765,0.7923859612546877,0.8091127678268599,0.814355518457917
1.82,0.6814539758315927,0.9778473324508399,0.9838646699733258
1.875,0.8575771537011123,0.8421795060197258,0.8524689757962609
1.93,0.7113492318030747,0.06747699172891147,0.06777492155173256
1.985,0.8157800168074711,0.95969164827304,0.9707014693635405
2.04,0.8180075624339878,0.7926606359243717,0.7987251796509893
2.095,1.0070996177096463,0.9358940697439329,0.9440375226817789
2.15,0.8352915426463793,0.8238657947843214,0.8324968806446011
2.205,0.9083797334868393,0.8666269911518785,0.8748362312082251
2.26,0.9585529556398602,1.0893067941816992,1.0950310900786882
2.315,1.0112740812028949,0.7844042619260838,0.8019730792471997
2.37,1.2462712959768687,1.1573299255132357,1.1764295549750583
2.425,1.0589756357607776,0.8614787271987353,0.8694361854891545
2.48,1.0281227801679336,0.6287158433243663,0.6131943434718267
2.535,0.9595582897431032,0.6359366864132286,0.6401516091206936
2.59,0.8315044889588215,0.8375017869038938,0.8420931577883563
2.645,0.938930500500785,0.8852998787919649,0.8992937848275767
2.7,0.8276365497940956,0.8078334788425308,0.8191967509646004
2.755,0.7026586565901204,0.6968503232096982,0.704854738675983
2.81,0.9087276917070376,0.8571430123547698,0.8685303741070376
2.865,0.691322389561968,0.3082846876796966,0.31339943888368316
2.92,1.0691498519551141,0.8655928514478749,0.8797959777323191
2.975,0.807051149872231,0.8183634937402905,0.8334938807577568
3.03,0.5243207471458879,0.5433441311693247,0.5518423277038796
3.085,0.7890158542701863,0.7507635044242306,0.7628232034567558
3.14,1.1071589090512517,0.853670430512089,0.8683149617823579
3.195,0.7261032155477379,0.6814428236375811,0.6922209716149407
3.25,0.8522478505139883,0.7037171401645129,0.7158509529410639
3.305,0.8167532178812764,0.6655145263839344,0.6835209579234278
3.36,0.6382601657216402,0.6618761794644287,0.6731564194987767
3.415,0.7625277548119653,0.7211839581462915,-23.104516993046683
3.47,0.6619170032413502,0.655804182744866,0.6668477178711677
3.525,0.8026555031288765,0.7021461353218018,0.710362763603491
3.58,0.6090356766399307,0.6409893293458819,0.6523559977811402
3.635,0.6070945215569683,0.6483120639784477,0.6596599990313363
3.69,0.7233443756392592,0.6767371328378418,0.6885828060789599
3.745,0.6848301729550172,0.6691594136583757,0.6797478419845259
3.8,0.8121456635018385,0.6893395211058144,0.7003152192462435
3.855,0.6071130804990301,0.6574275585817217,0.668459706335374
3.91,0.6993335200519981,0.6716917252289568,0.6829313574424956
3.965,0.7520921380790035,0.6919196092480121,0.7045529979740507
4.02,0.9072989493617856,0.7162727337545003,0.7312147197570918
4.075,0.7900140130931499,0.7231003398533598,0.7495976323777154
4.13,0.7280283663721265,0.6771158770359866,0.6904527004683986
4.185,0.7140211353255759,0.6689712991148281,0.6819428311362516
4.24,0.7259649148580483,0.6741662528088835,0.6889870495483092
4.295,0.6126592294756508,0.6341045384295874,0.646030118615469
4.35,0.802119413581847,0.7265811129300813,0.7387899819660321
4.405,0.8686603739203309,0.7284555619271379,0.742680735171489
4.46,0.6554567171161445,0.6464512552383366,0.6602929837413103
4.515,1.201021091988392,0.7668065442017643,0.7828396374786436
4.57,0.8115470233814253,0.7144687467341536,0.7287542019139229
4.625,0.7781062400992185,0.693747718688488,0.7083009947798681
4.68,0.6895684918730863,0.668194055135488,0.6816182314600944
4.735,0.7507838318492328,0.694124866555757,0.7078662972554113
4.79,0.8218626473564887,0.7315347186167432,0.7533102031904586
4.845,0.6293224579385162,0.6482556215581986,0.6622389486671224
4.9,0.8416502101227787,0.7170843512613506,0.7327800738794222
4.955,0.8778980701378463,0.723809691131884,0.7379436711477505
5.01,0.7837612153397164,0.6939212177528137,0.7065368484053792
5.065,0.8284536107258571,0.7118608531133425,0.7260461782192531
5.12,0.7687412972322036,0.6968565213173568,0.7083391055082533
5.175,0.719663462160832,0.6866061231984439,0.6992985342134415
5.23,0.5790035329519194,0.6082731033630179,0.6289880742778421
5.285,0.8472139945638317,0.7222591735297392,0.7377741118884177
